CodInst,Data,NomeInstituicao,DataInicioAtividade,Tcb,Td,Tc,SegmentoTb,Atividade,Uf,Municipio,Sr,CodConglomeradoFinanceiro,CodConglomeradoPrudencial,CnpjInstituicaoLider,Situacao
C0085740,2023-03-01,UNAVANTI SCD - PRUDENCIAL,180001,N1,I,2,,Sociedade de Crédito Direto,PR,Maringá,S5,,C0085740,42047025,A
42047025,2023-03-01,UNAVANTI SOCIEDADE DE CRÉDITO DIRETO S/A,202105,N1,I,2,Sociedade de Crédito Direto,,PR,Maringá,S5,,C0085740,42047025,A
33239237,2023-03-01,UNIAO FINANCEIRA S/A CREDITOS FINANCIAMENTOS E INVESTIMENTOS,196310,N1,I,2,"Sociedade de Crédito, Financiamento e Investimento",,SP,São Paulo,,,,,I
01501905,2023-03-01,UNIBANCO COMPANHIA HIPOTECARIA,199611,N1,I,2,Companhia Hipotecária,,SP,São Paulo,,,,,I
62188214,2023-03-01,UNIBANCO CREDITO IMOBILIARIO S/A,196807,N1,I,2,Sociedade de Crédito Imobiliário,,SP,São Paulo,,,,,I
89523781,2023-03-01,UNIBANCO CREDITO IMOBILIARIO S/A - SUL,197806,N1,I,2,Sociedade de Crédito Imobiliário,,RS,Porto Alegre,,,,,I
17557380,2023-03-01,UNIBANCO CREDITO IMOBILIARIO S/A CENTRO,198209,N1,I,2,Sociedade de Crédito Imobiliário,,MG,Belo Horizonte,,,,,I
30141550,2023-03-01,UNIBANCO CREDITO IMOBILIARIO S/A RIO,197008,N1,I,2,Sociedade de Crédito Imobiliário,,RJ,Rio de Janeiro,,,,,I
33058660,2023-03-01,UNIBANCO FINANCEIRA S/A CREDITO FINANCIAMENTO E INVESTIMENTO,195810,N1,I,2,"Sociedade de Crédito, Financiamento e Investimento",,SP,São Paulo,,,,,I
44071785,2023-03-01,UNIBANCO LEASING S.A. - ARRENDAMENTO MERCANTIL,197607,N1,I,3,Sociedade de Arrendamento Mercantil,,SP,Barueri,,,,,I
34120899,2023-03-01,UNIBANCO LEASING S/A - ARRENDAMENTO MERCANTIL,197607,N1,I,2,Sociedade de Arrendamento Mercantil,,SP,Barueri,,,,,I
C0085087,2023-03-01,UP.P SEP - PRUDENCIAL,180001,N1,I,2,,Sociedade de Empréstimo entre Pessoas,SP,São Paulo,S5,,C0085087,35977097,A
35977097,2023-03-01,UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.,202001,N1,I,2,Sociedade de Empréstimo entre Pessoas,Sociedade de Empréstimo entre Pessoas,SP,São Paulo,S5,,C0085087,35977097,A
C0085472,2023-03-01,UY3 SCD - PRUDENCIAL,180001,N1,I,2,,Sociedade de Crédito Direto,RS,Porto Alegre,S5,,C0085472,39587424,A
39587424,2023-03-01,UY3 SOCIEDADE DE CRÉDITO DIRETO S/A,202108,N1,I,2,Sociedade de Crédito Direto,Sociedade de Crédito Direto,RS,Porto Alegre,S5,,C0085472,39587424,A
46554739,2023-03-01,"VALBRAS FINANCEIRA S/A - CREDITO, FIN E INVESTIMENTOS",197506,N1,I,2,"Sociedade de Crédito, Financiamento e Investimento",,SP,São Paulo,,,,,I
C0083223,2023-03-01,VALOR - PRUDENCIAL,180001,N1,I,2,,Sociedade de Crédito Direto,SP,São Paulo,S5,,C0083223,07799277,A
07799277,2023-03-01,VALOR SOCIEDADE DE CRÉDITO DIRETO S.A.,200710,N1,I,2,Sociedade de Crédito Direto,Sociedades de crédito ao Microempreendedor,SP,São Paulo,S5,,C0083223,07799277,A
62013123,2023-03-01,VEGA LEASING ARRENDAMENTO MERCANTIL S.A.,196804,N1,I,2,Sociedade de Arrendamento Mercantil,,RJ,Rio de Janeiro,,,,,I
48632754,2023-03-01,VIA CAPITAL - SOCIEDADE DE CRÉDITO DIRETO S/A,180001,N1,I,2,Sociedade de Crédito Direto,,MG,Belo Horizonte,S5,,C0086536,48632754,I
C0086536,2023-03-01,VIA CAPITAL SCD  - PRUDENCIAL,180001,N1,I,2,,,MG,Belo Horizonte,S5,,C0086536,48632754,I
C0080831,2023-03-01,VIA CERTA CFI - PRUDENCIAL,180001,N1,I,2,,"Sociedades de Credito, Financiamento e Investimento",RS,Santo Cristo,S4,,C0080831,05192316,A
05192316,2023-03-01,"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",200211,N1,I,2,"Sociedade de Crédito, Financiamento e Investimento","Sociedades de Credito, Financiamento e Investimento",RS,Santo Cristo,S4,,C0080831,05192316,A
04949202,2023-03-01,VIVENDA-ASSOCIAÇÃO DE POUPANÇA E EMPRÉSTIMO,196902,N1,I,2,Associação de Poupança e Empréstimo,,PA,Belém,,,,,I
C0084404,2023-03-01,VNK SCMEPP - PRUDENCIAL,180001,N1,I,2,,Sociedades de crédito ao Microempreendedor,CE,Fortaleza,S5,,C0084404,20269566,A
